,title,50 G,100 G,150 G,200 G,250 G,300 G,400 G,500 G,600 G,800 G,1 Kg,weight,image,features,nutrients
11,High Curcumin Lakadong Turmeric Powder - Curcumin Content 7-8%,Rs. 259,Rs. 324,,Rs. 584,,,,Rs. 1039,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/LAWT02WT_x360.jpg?v=1622795380,"Considered the best turmeric in the world, has the highest curcumin content of minimum 8%.  It has a distinct aromatic flavor and light brown colour compared to ordinary varieties of turmeric.                                                                                                                                                                                                           Ethically sourced from farmers groups in Lakadong village. Handpicked, sorted, washed 3-4 times,  sliced, sun dried & then  powdered in small batches. No oil is extracted.  Pesticide, additive,  preservative free.","Lakadong Turmeric contains  potassium, sodium, manganese, vitamin C, calcium.  Is anti-inflammatory, antioxidant, antibacterial, antimicrobial, anti-depressant. Helps regulate blood pressure, cholesterol, prevent alzheimers, osteoarthritis. Good for skin, heart, digestive system.

"
12,Special Graded Malabar Black Pepper Whole- (Black Gold) - GI tagged,Rs. 194,Rs. 259,,Rs. 454,Rs. 545,,Rs. 844,Rs. 1037,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackpepperwhole_x360.jpg?v=1623163272,"Ethically sourced from a fair traded and organic certified farmer from Wayanad, Kerala. Only the latest batch is procured and processed without the use of toxic pesticides, irradiation, or genetically engineered products.","Malabar Pepper contains magnesium, phosphorus, manganese, zinc, beta-carotene. Anti-oxidant. Enhances nutrient absorption, helps with indigestion, fat reduction, clears nasal and chest congestion, combats arthritis. "
13,Special Graded Ground Malabar Pepper Powder - (Piperine content more than 4 %),Rs. 259,Rs. 389,,Rs. 649,Rs. 779,,,Rs. 1299,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackpepper50gm_x360.jpg?v=1624769117,"Large sized & special graded,  sourced from a fair traded and organic certified farmer in Wayanad, Kerala.
Only the latest and freshest batch is procured. No oil is extracted when making powder. 
","Malabar Pepper contains magnesium, phosphorus, manganese, zinc, beta-carotene. Anti-oxidant. Enhances nutrient absorption, helps with indigestion, fat reduction, clears nasal and chest congestion, combats arthritis. "
14,Premium Quality Single Origin Tellichery Special Extra Bold Black Peppercorns Whole - size More than 4.25 mm,,Rs. 649,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/TellicherySpecialExtraBoldBlackPeppercornsWhole_x360.jpg?v=1623597393,"Large sized peppercorns, with a woodsy and citrusy flavour. Used to spice up food, as a flavouring and seasoning in sauces, on eggs, meats and salads","Tellicherry Pepper contains Vitamins C & A, calcium, iron. Anti-inflamatory. Reduces blood sugar and cholesterol. Good for chest congestion, weight loss, digestion."
15,Premium Dry Long Pepper Whole  (Piper Longum),,Rs. 519,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/LongPepperWhole_x360.jpg?v=1623566787,"Long pepper is an essential ingredient of ayurvedic medicines.
Handpicked, homestead produce is sourced from an organic and fair trade farmer in  Wayanad, Kerala  following permaculture  farming to ensure no harm to the natural ecosystem
","Long Pepper contains  vitamins K, C. A, manganese, calcium, potassium. Improves appetite and digestion, as well as treat stomachache, heartburn, indigestion, intestinal gas, diarrhea, reduce weight and cholesterol."
16,Long Pepper Whole (Organically Grown/Single Origin & Homestead Produce),Rs. 324,Rs. 389,,Rs. 649,Rs. 779,,,Rs. 1234,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/longpepper_x360.jpg?v=1623165010,"Sourced from a single-origin, fair traded and organic certified farmer in Wayanad in Kerala. Free from additives, pesticides, preservatives or colour enhancing agents. Solar dried, hand-picked and hygienically packed.  Used in roasted meats, barbecue sauce, soups, Far East culinary. ","Long Pepper contains  vitamins K, C. A, manganese, calcium, potassium. Improves appetite and digestion, as well as treat stomachache, heartburn, indigestion, intestinal gas, diarrhea, reduce weight and cholesterol."
17,Ground Long Pepper (Organically Grown/Single Origin & Homestead Produce),Rs. 324,Rs. 454,,Rs. 714,Rs. 993,,,Rs. 1299,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/longpepperpowder100gm_x360.jpg?v=1624768771,"Best quality, organically grown, single origin, from a fair traded and organic certified farmer in Wayanad in Kerala.  No additives, pesticides, preservatives, colour enhancers used.  Hand-picked & solar dried.  Used in roasted meats, barbecue sauce, soups, Far East culinary.
","Long Pepper contains  vitamins K, C. A, manganese, calcium, potassium. Improves appetite and digestion, as well as treat stomachache, heartburn, indigestion, intestinal gas, diarrhea,  reduce weight and cholesterol."
18,"Premium Special Extra Bold White Peppercorns Whole  (Single Origin, made in small batches)",,Rs. 519,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/SpecialExtraBoldWhitePeppercornsWhole_x360.jpg?v=1623586387,"Premium & Limited edition, of Single Origin sourced from an organic fair traded farmer in Kerala. Used to flavour poultry, fish, meat, sauces, curries, breakfast dishes. ","White pepper contains manganese, iron, copper. Reduces Inflammation, Promotes Proper Digestion, Rich in Antioxidant. Boosts curcumin absorption, helps treat diarrhea, reduce pain, improve breathing."
19,Whole White Pepper,,Rs. 519,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/whitepepper100gm_x360.jpg?v=1625040779," Special graded, sourced from a fair traded and organic certified farmer based in Wayanad, Kerala. Made in small batches. No oil extracted spice is used for making powder. Used as a seasoning or used in dressings for salads, chicken, or fish, in white sauce, gravies, soups, stews, sauces.                                                                                                                                                                         ","White pepper contains manganese, iron, copper. Reduces Inflammation, Promotes Proper Digestion, Rich in Antioxidant. Boosts curcumin absorption, helps treat diarrhea, reduce pain, improve breathing."
20,Crushed White Pepper (Medium Ground),,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/crushedwhitepepper100gm_x360.jpg?v=1624951565," Special Graded Crushed White Pepper, sourced from a fair traded and organic certified farmer based in Wayanad, Kerala. Made in small batches. No oil extracted form spice when ground.  
Organic, pesticide and chemical free, Non- GMO, Non-ETO, Vegan, Gluten free. Used in dressings for salads, chicken, or fish, in white sauce, gravies, soups, stews, sauces.   ","White pepper contains manganese, iron, copper. Reduces Inflammation, Promotes Proper Digestion, Rich in Antioxidant. Boosts curcumin absorption, helps treat diarrhea, reduce pain, improve breathing."
21,"Ground White Pepper  (Organically Grown, Single Origin & Homestead Produce)",Rs. 324,Rs. 454,,Rs. 779,Rs. 909,,,Rs. 1819,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/whitepepperpowder100gm_x360.jpg?v=1624769307,"Handpicked, mechanically  processed, special graded, sourced from a fair traded and organic certified farmer from Wayanad, Kerala. Made in small batches. No oil extracted spice is used for making powder. Used in dressings for salads, chicken, or fish, in white sauce, gravies, soups, stews, sauces.   ","White pepper contains manganese, iron, copper. Reduces Inflammation, Promotes Proper Digestion, Rich in Antioxidant. Boosts curcumin absorption, helps treat diarrhea, reduce pain, improve breathing."
22,8mm Alleppey Green Extra Bold Cardamom Whole,Rs. 519,Rs. 909,,Rs. 1819,Rs. 2274,,Rs. 3510,Rs. 4388,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cardamom_x360.jpg?v=1623164352,"Natural & Organically grown,  sourced from a certified organic farmer in Idukki, Kerala. Single-origin produce. Non-GMO. Pesticide and chemical-free. Used in dressings for salads, chicken, or fish, in white sauce, gravies, soups, stews, sauces.   ","White pepper contains manganese, iron, copper. Reduces Inflammation, Promotes Proper Digestion, Rich in Antioxidant. Boosts curcumin absorption, helps treat diarrhea, reduce pain, improve breathing."
23,Premium Single Origin Alleppey Green Cardamom Whole (Premium 8 mm Extra Bold),,Rs. 1039,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/1_60caaa29-fb84-4c23-824a-ac807f480ec8_x360.jpg?v=1643970420,"The Oueen of all spices, Cardamom - the exotic spice with complex flavours,  Keralas pride.  Best quality Thiruthali variety, Premium Single Origin, 8 mm Extra Bold
Farm Direct Produce, Permaculture based, organically grown produce, handpicked  from a single-origin farm. Used to flavour dishes and bakery products.","Alleppey Cardamom contains calcium, Vitamin C, potassium, magnesium.Ant-oxidant & anti-inflammatory. Used to treat coughs, colds, in ayurveda, control asthma, sugar levels, treat depression & improve digestion. "
24,"Alleppey Green Cardamom Seed Powder 
",,Rs. 909,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/812gVdQjQvL._SL1500_1024x1024@2x.jpg?v=1644840537,"Premium Gourmet Food Grade Spice
Single origin, organically grown, pesticide free, homestead produce from the worlds best spices producing mountain ranges- Western Ghats.
Natural, no colour, preservatives, additives added. Only fresh harvest  sourced in small batches.
Used in curries, baked goods, sausages, vegetarian and non-vegetarian dishes,  ","Alleppey Cardamom contains calcium, Vitamin C, potassium, magnesium.Ant-oxidant & anti-inflammatory. Used to treat coughs, colds, in ayurveda, control asthma, sugar levels, treat depression & improve digestion. "
25,"Green Cardamom Seeds/ Decorticated -  (Tiny, Fragrant Seed, removed from the Cardamom pod) ",,Rs. 1039,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cardamomseeds100gm_x360.jpg?v=1624765813,"Premium Gourmet Food Grade Spice
Single origin, organically grown, pesticide free, homestead produce from the worlds best spices producing mountain ranges- Western Ghats.
Natural, no colour, preservatives, additives added. Only fresh harvest is sourced in small batches.
Used in curries, baked goods, sausages, vegetarian and non-vegetarian dishes,  ","Alleppey Cardamom contains calcium, Vitamin C, potassium, magnesium.Ant-oxidant & anti-inflammatory. Used to treat coughs, colds, in ayurveda, control asthma, sugar levels, treat depression & improve digestion. "
26,Green Cardamom Seed Powder,Rs. 649,Rs. 1039,,Rs. 1949,Rs. 2338,,Rs. 3714,Rs. 4550,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cardamompowder50gm_x360.jpg?v=1624765764,"Premium Gourmet Food Grade Spice
Single origin, organically grown, pesticide free, homestead produce from the worlds best spices producing mountain ranges- Western Ghats.
Natural, no colour, preservatives, additives added. Only fresh harvest is sourced in small batches.
Used in curries, baked goods, sausages, vegetarian and non-vegetarian dishes,  ","Alleppey Cardamom contains calcium, Vitamin C, potassium, magnesium.Ant-oxidant & anti-inflammatory. Used to treat coughs, oral health, colds, in ayurveda, control asthma, sugar levels, treat depression & improve digestion. "
27,Premium Black Cardamom Large,,Rs. 519,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/BlackCardamomWhole_x360.jpg?v=1623564632,"Premium & Limited edition Single Origin Black Cardamom Whole is sourced from the organic farmers of Arunachal Pradesh. Used in curries, stews, rice, noodle preparations, baked goods, tea.
","Black Cardamom has  Vitamin C, potassium, magnesium, calcium, phosphorus. Anti-oxidant & anti-inflammatory. Helps stimulate gastric and intestinal glands & promotes digestion. Prevents gastric ulcers & acidity.  Helps improve blood circulation."
28,Fresh & Natural Black Cardamom Whole,Rs. 324,Rs. 454,,Rs. 649,Rs. 779,,,Rs. 1234,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackcardamom_x360.jpg?v=1627661017,"This premium quality Black cardamom also known as the Queen of Spices is ethically sourced from  organic women farmers of Sikkim. Handpicked, hygienically dried and packed in a glass jar to retain freshness & flavour. 
No chemicals,  pesticides or additives added. 100% organically grown, Non- GMO produce, Gourmet Grade spice. Singe origin and homestead produce.","Black Cardamom has  Vitamin C, potassium, magnesium, calcium, phosphorus. Anti-oxidant & anti-inflammatory. Helps stimulate gastric and intestinal glands & promotes digestion. Prevents gastric ulcers & acidity.  Helps improve blood circulation."
29,Fresh & Natural Black Cardamom Powder,Rs. 298,Rs. 649,,Rs. 714,Rs. 811,,,Rs. 1364,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackcardamom50gm_x360.jpg?v=1624765691,"Freshly Handpicked berries, Organically sourced from women farmers network of Sikkim.  Freshly ground and packed in glass jar to retain the freshness, flavour and aroma. Made in small batches.
No chemicals, no pesticides or no additives added. Non- GMO, Non- ETO, non-irradiated. 
Used to flavour  dishes, stews, tea, meats, soups, baked goods. ","Black Cardamom has  Vitamin C, potassium, magnesium, calcium, phosphorus. Anti-oxidant & anti-inflammatory. Helps stimulate gastric and intestinal glands & promotes digestion. Prevents gastric ulcers & acidity.  Helps improve blood circulation."
30,Cloves Whole,Rs.  324,Rs. 389,,Rs.  649,Rs. 844,,Rs. 1169,Rs.  1299,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Clove_e661535e-697b-4d00-b433-7d0bf40721d1_x360.jpg?v=1623164642,"100% Natural, Organically Grown, Premium Gourmet Grade Spice. Handpicked, of  single-origin, fair traded, ethically sourced from the Western Ghats of Kerala. Non-GMO, No Preservatives, Vegan, Gluten-free.  Used in currries, soups, pies, wines, teas.","Cloves contain Vitamin K, potassium, manganese, Vitamin C. Anti-carcinogenic, anti-inflammatory. Used as an analgesic, for good oral health, clear chest congestion, bad breath , reduce diabetes, heart disease."
31,Premium Quality Single Origin Clove Whole,,Rs. 649,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CloveWhole_x360.jpg?v=1623597906,"100% Natural, Organically Grown, Premium Gourmet Grade Spice. Handpicked, of  single-origin, fair traded, ethically sourced from the Western Ghats of Kerala. Non-GMO, No Preservatives, Vegan, Gluten-free.  Used in currries, soups, pies, wines, teas.","Cloves contain Vitamin K, potassium, manganese, Vitamin C. Anti-carcinogenic, anti-inflammatory. Used as an analgesic, for good oral health, clear chest congestion, bad breath , reduce diabetes, heart disease."
32,Ground Cloves,Rs. 324,Rs. 454,,Rs. 714,Rs. 779,,,Rs. 1299,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/clovepowder50gm_x360.jpg?v=1624766749,"Single Origin 100% natural, organically grown, fair traded and ethically sourced cloves from the Western Ghats of Kerala.  Non-GMO, No Preservatives, Vegan, Gluten free with zero pesticides, chemicals or preservatives. Has high Oil Content, is rich in flavor. Manually sourced and hygienically packed and powdered as per international quality standards. Used in currries, soups, pies, wines, teas.","Cloves contain Vitamin K, potassium, manganese, Vitamin C. Anti-carcinogenic, anti-inflammatory. Used as an analgesic, for good oral health, clear chest congestion, bad breath , reduce diabetes, heart disease."
33,Premium Cumin Whole,,Rs.  389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CuminWholeJeeraSabut_x360.jpg?v=1623565270,"Premium & Limited Edition of Single Origin,  sourced from  select organic farmer  of Gujarat. Thoroughly washed and sundried, Made in small batches.  Grown & secured without harming the natural ecosystem by following  Permaculture. used in barbecues, Mexican & Indian dishes, pickles, breads, soups, rice dishes and as a preservative. 
","Cumin contains iron, flavinoids, Vitamin K, riboflavin. Antioxidant, anti-fungal, anti-microbial.  Helps control diabetes, cholesterol, weight & fat reduction, food borne disease, boost memory, relieves pain, improves digestion."
34,Premium Quality Cumin Powder,,,,Rs.  389,,,,Rs. 649,,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cuminpowder_x360.jpg?v=1624951626,"Of Single Origin, sourced from  the best cumin growing region in India,  Gujarat.   
Thoroughly washed and sundried, Made in small batches. Flavour  and oils  retained during powdering.  Grown & secured without harming the natural ecosystem by following  Permaculture.  Used in barbecues, Mexican & Indian dishes, pickles, breads, soups, rice dishes and as a preservative. 
","Cumin contains iron, flavinoids, Vitamin K, riboflavin. Antioxidant, anti-fungal, anti-microbial.  Helps control diabetes, cholesterol, weight & fat reduction, food borne disease, boost memory, relieves pain, improves digestion."
35,Travancore Nutmeg Whole - Shell removed,Rs. 389,Rs. 400,,,,,,Rs. 909,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/nutmeg_x360.jpg?v=1623201749,"Sourced from an organic certified farmer at Wayanad,  Kerala.  Handpicked, hygienically packed, 100% natural,  organically grown local variety, produced in small batches.  Organic, pesticide-free, chemical-free, Non-irradiated, No preservatives, additives or flavours added. Used for desserts, pies, custards, egg nog, in milk, puddings, cakes, savoury dishes.","Nutmeg contains fibre, vitamins A & C, potassium, sodium, choline. Anti-oxidant. May help boost mood, help blood sugar control, reduce risk of heart disease. Also treats insomnia. "
36,Travancore Nutmeg Powder,Rs. 259,Rs. 389,,Rs. 649,Rs. 714,,,Rs. 1300,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/NUTMEGPOWDER100gm_x360.jpg?v=1624811465,"Finest quality, sourced from an organic certified farmer at Wayanad,  Kerala. Handpicked in small batches and hygienically packed.
100% natural . Non- hybrid variety. No preservatives, additives or flavours added.
It is used in puddings, cookies and spice cakes, pies, custards, curries, gravies.","Nutmeg contains fibre, vitamins A & C, potassium, sodium, choline. Anti-oxidant. May help boost mood, help blood sugar control, reduce risk of heart disease. Also treats insomnia. "
37,Premium Quality Single Origin Nutmeg Whole,,,,Rs. 649,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/NutmegWhole_x360.jpg?v=1623599237,"Premium Single Origin, organic. Non-hybrid, non-GMO. Pesticide, additive, chemical free. Used in puddings, cookies and spice cakes, pies, custards, curries, gravies. 
","Nutmeg contains fibre, vitamins A & C, potassium, sodium, choline. Anti-oxidant. May help boost mood, help blood sugar control, reduce risk of heart disease. Also treats insomnia. "
38,Premium Quality Single Origin Star Anise (Badiyan) Whole,Rs. 649,,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/StarAniseWhole_x360.jpg?v=1624516959,"Pure Premium Quality  collected from the Western Ghats region and sun-dried.  Single Origin, Farm Direct Produce & organically grown following  permaculture, grown and secured without harming the natural ecosystem
 Star anise is a key ingredient of the traditional five-spice powder. Used in Chinese cuisine,  broths, soups, baked goods. ","Star Anise contains Vitamins A & C, anti-oxidants, iron , magnesium, calcium, potassium, fibre. May Reduce Symptoms of Depression,  Protect Against Stomach Ulcers,  Growth of Fungi & Bacteria, Relieve Menopause Symptoms, Balance Sugar Levels,  Reduce Inflammation.
"
39,Dried Star Anise (Badiyan)  Whole,Rs. 389,Rs. 519,,Rs. 779,Rs. 844,,,Rs. 1557,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/staranise_x360.jpg?v=1623201858,"Each  star anise whole is handpicked and carefully sorted. 100% Natural, Non- GMO, No Preservatives and Artificial Colors, Vegan & Premium Gourmet grade spice. Used in Chinese cuisine,  broths, soups, baked goods.","Star Anise contains Vitamins A & C, anti-oxidants, iron , magnesium, calcium, potassium, fibre. May Reduce Symptoms of Depression,  Protect Against Stomach Ulcers,  Growth of Fungi & Bacteria, Relieve Menopause Symptoms, Balance Sugar Levels,  Reduce Inflammation.
"
40,Ground Star Anise (Badiyan),Rs. 298,Rs. 519,,Rs. 714,Rs. 806,,,Rs. 1560,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/STARANISEPOWDER50gm_x360.jpg?v=1624769018,"Premium Gourmet Grade Spice Powder,  100% Natural, Non- GMO, No Preservatives and Artificial Colors, Vegan. Used in Chinese cuisine,  broths, soups, baked goods.","Star Anise contains Vitamins A & C, anti-oxidants, iron , magnesium, calcium, potassium, fibre. May Reduce Symptoms of Depression,  Protect Against Stomach Ulcers,  Growth of Fungi & Bacteria, Relieve Menopause Symptoms, Balance Sugar Levels,  Reduce Inflammation.
"
41,Allspice Berries (Whole) - Pimenta Dioica- (Jamaican Pepper / Jamaica Pimienta / Newspice),Rs. 259,Rs. 454,,Rs. 649,Rs. 779,,,Rs. 1430,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/allspice_x360.jpg?v=1626064554,"Single origin, organically grown, homestead produce. Ethically sourced from an organic and fair trade farmer in Wayanad, Kerala. 
Free from preservatives, additives, pesticides and chemicals. Handpicked  and hygienically packed. Non- GMO, Non-ETO, Non-irradiated. Used in baked goods, custards, puddings, cakes, sausages, ham","Allspice contains manganese, magnesium, potassium, sodium. Used as a  remedy for colds, menstrual cramps, indigestion, headache, fatigue, and nasal congestion., pain relief, cramps."
42,Premium Dry Allspice Whole,,Rs. 519,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AllspiceWhole_647ce24a-0733-4e75-9633-b72421f81e54_x360.jpg?v=1623564274," Premium & Limited edition Single Origin, handpicked, homestead produce, sourced from an organic and fair trade farmer in Kerala who follows permaculture.  
The flavor of allspice is the combination of cinnamon, cloves, nutmeg, and pepper. It  is  used both in cooking and baking, in custards, puddings, cakes, sausages, ham. 
","Allspice contains manganese, magnesium, potassium, sodium. Used as a  remedy for colds, menstrual cramps, indigestion, headache, fatigue, and nasal congestion., pain relief, cramps."
43,Allspice Powder (Gourmet Grade Spice Powder) - (Jamaican Pepper Powder),Rs. 324,Rs. 454,,Rs. 714,Rs. 811,,,Rs. 1560,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/allspicepowder100gm_x360.jpg?v=1624765457,"Single origin, organically grown, homestead produce of an organic and fair trade certified farmer in Wayand, Kerala. Freshly handpicked, 100% pesticide, chemical, preservative,  additive free.                                                                                                                                                                                                                                               Allspice has a unique flavour combination of pepper, clove, cinnamon and nutmeg.  Is used in  cakes, desserts, preserves and fruit pies,  seasoning blends, meats, fish,  soups, stews and curries.","Allspice contains manganese, magnesium, potassium, sodium. Used as a  remedy for colds, menstrual cramps, indigestion, headache, fatigue, and nasal congestion., pain relief, cramps."
