title,price,100g tin,50g tin,100g pouch,50g pouch,1Kg pouch,description,description2,image,image2
Masala Chai 2020,,Rs. 510,,Rs. 419,,Rs. 1973,"A melange of this delicious CTC with ginger, black pepper, cinnamon, cardamom pods and cloves.","The Khongea CTC tea really is a Cut, Tear and Curl above all others as it is harvested during the high quality Second Flush period in Assam. Our Masala Chai is a melange of this delicious CTC with ginger, black pepper, cinnamon, cardamom pods and cloves that can be cooked with milk to produce a rich and spicy concoction.  Found in every street corner cafÃ© or ""dhaaba"" on the Indian subcontinent, this tea is a local favourite and loved for its ability to warm and revive.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/masala_chai_tin.jpg?v=1650631358,Masala.jpg
Khongea Assam Leaf Tea ,,Rs. 500,,Rs. 405,,Rs. 1420,A great Assam with a classic deep amber liquor.,"An Assam orthodox TGFOP leaf tea that retains the classic deep amber liquor and rich flavour of a Khongea Assam tea. This is a slightly larger leaf grade than the Assam Leaf Premium, which is a TGFOP1 leaf grade, so slightly smaller in size. 

The cup is lightly malty, and can be enjoyed with or without milk.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/assam_leaf_tin.jpg?v=1650623125,KHONGEA.jpg
Glenburn Darjeeling Autumn Crescendo Tea (2021 Harvest),,Rs. 750,,Rs. 653,,Rs. 3550,Our mellow and floral Autumn tea in an elegant Glenburn gift tin.,"Made in early November from our select clonal fields, our autumn Darjeeling tea has a gentle copper glow, mirroring the evening sun on the snows of Mount Kanchenjunga in the shadows of which this tea is grown.

It is full bodied and mellow, and has a delicate flowery bouquet and undertones of malt, with a long finish. The tea bushes give us one grand finale at the end of the harvesting year and the taste lingers like a beautiful symphony that carries you into the next season.
100g loose tea in an elegant Glenburn Gift Tin.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/autumn_crescendo_tin.jpg?v=1650619392,AutumnCrescendo.jpg
Khongea Assam CTC Tea ,,Rs. 500,,Rs. 405,,Rs. 1505,"A fine quality CTC for a great everyday cup of tea, packed in a Glenburn gift tin.","Glenburn’s estate at Khongea produces fine quality CTC teas from its lush green fields that are the preferred choice in certain markets. CTC teas are made differently to Orthodox or """"Leaf"""" teas. The process that Cuts, Tears and Curls the leaf after it is rolled, produces an extra strong, thick and spicy tea. 
In India, it is prepared with  aromatic spices and called “chai"". It tastes delicious even on its own, with sugar, milk or cream.

100g loose tea in an elegant Glenburn Gift Tin.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/ctc_tin.jpg?v=1650621685,CTC.jpg
Glenburn Darjeeling First Flush Spring Tea  (2022 Harvest),,Rs. 1110,,Rs. 982,,Rs. 5350,"Our famous First Flush: bright and floral, in a Glenburn Gift Tin.","Made from only the finest tender shoots plucked from our clonal sections during the onset of spring at Glenburn, this stylishly made tea with a beautiful bloom and an abundance of silver tips is pure springtime in a cup. 

The liquor is light and bright, smooth on the palate with undertones of citrus flowers and peach. Full of aroma, it embodies all the attributes of the finest Darjeeling First Flush tea.
100g loose tea in an elegant Glenburn Gift Tin.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/first_flush_tin.jpg?v=1650617955,FirstFlush.jpg
Khongea Assam Second Flush Golden Tips ,,Rs.1200,,Rs. 1084,,Rs. 6050,"Top grade Assam, beautifully tippy, in a Glenburn gift tin.","The best Assam teas are harvested in the summer months of May and June during the high quality Second Flush period. Khongea is among the few tea plantations in the Brahmaputra river valley that grow the P126 Clonal plants that produce a distinctive tea with a large proportion of chunky golden tips.

When brewed, the cup offers a warm golden liquor with a rich spicy and malty character. This is a great breakfast tea that is best drunk with milk.
100g loose tea in an elegant Glenburn Gift Tin.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/golden_tips_tin.jpg?v=1650952619,Golden Tips Pouch.jpg
Lemon Ginger Green Tea ,,Rs. 670,,Rs. 571,,Rs. 2761,"A revitalizing blend of citrusy freshness complemented by warm, restorative ginger and honey.","A revitalising blend of citrusy freshness complemented by warm, restorative ginger and honey. A host of health benefits derived from the antioxidants in our Darjeeling green tea are enhanced by the immune-boosting effects of lemon and the digestive benefits of ginger.  A perfect drink for any season, and especially beneficial in the winter.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/lemon_ginger_tin.jpg?v=1650632452,Lemon Ginger Pouch.jpg
Glenburn Darjeeling Monsoon Tea ,,Rs. 700,,Rs. 553,,Rs.  2880,"Monsoon Darjeeling in a tin, for those who like a slightly stronger cup.","Our Monsoon teas are characterized by a rich amber cup that is full bodied and smooth on the palate, and perfect for those who favour a stronger brew. The flavour can also be complimented with a dash of milk, unlike Darjeeling Teas from most other seasons.  

Made in the late summer months from July to September when the estate is in full production with perfect weather conditions, our monsoon harvest is specially plucked from select fields with clonal plants that give Glenburn tea its own unique character.
100g loose tea in an elegant Glenburn Gift Tin.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/monsoon_tin.jpg?v=1650618810,Monsoon.jpg
Glenburn Darjeeling Autumn Oolong Tea (2021 Harvest),,,Rs.1200,,Rs.1092,"Rs. 11,450","Rare Darjeeling Oolong tea, made only in small batches, in a Glenburn gift tin.","Our speciality Darjeeling oolong is made in very small batches towards the close of the season, using only our most experienced tea pickers. The cup is full bodied, yet mellow and round and so is light on the palate with a beautiful floral bouquet. 

The ultimate ""whole leaf"" tea, the leaf remains intact and unbroken right through to the infusion. Our Oolong is lightly oxidised and has a bright reddish appearance once brewed. It is manufactured with extreme care in a process similar to a White Tea that preserves all its health giving properties.
50g loose tea in an elegant Glenburn Gift Tin.",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/rmk_1360.jpg?v=1650619720,Oolong Pouch.jpg
Rose White Tea ,,,Rs.700,,Rs. 574,Rs. 5360,A beautiful combination of Darjeeling white tea leaves and Indian rose petals.,"Therapeutic and nutritious, this tea is a beautiful combination of Darjeeling white tea leaves and Indian rose petals.  This perfect melange, will detoxify and cool the body, and is also rich in Vitamin C and antioxidants.  Great for your skin, and low in calories, this tea is light and floral with a natural sweetness, and packed with lots of things that are great for you too!",https://cdn.shopify.com/s/files/1/0642/1096/0610/products/rose_white_tin.jpg?v=1650631778,Rose White Pouch.jpg
